Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Gaur,Mammal,Bos gaurus,"Whine, whimper",Distress/Anxious,when threatened
Himalayan Tahr,Mammal,Hemitragus jemlahicus,Hiss,Threat/Avoidance,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Low growl-like hiss,Alarm/Alert,at dawn
Sloth Bear variant 38,Mammal,Melursus ursinus,"Bark, woof",Alert/Excited,
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Silent (body-language),Neutral/Calm,
Spoonbill,Bird,Platalea leucorodia,Aggressive scolding,Aggression/Defense,during mating display
Indian Roller variant 7,Bird,Coracias benghalensis,"Chirp, cheep",Contact/Neutral,during foraging
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,Loud bawl,Distress/Alarm,near nesting site
Brahminy Kite variant 8,Bird,Haliastur indus,"Alarm call, harsh chips",Alarm/Alert,
Wild Yak,Mammal,Bos grunniens,Chittering,Playful,at dawn
Arctic Fox,Mammal,Vulpes lagopus,Chittering,Playful,
Domestic Cat variant 59,Mammal,Felis catus,"Bark, woof",Alert/Excited,
Fantail Flycatcher,Bird,Rhipidura,Bill-clacking,Threat,
Indian Peafowl variant 1,Bird,Pavo cristatus,"Chirp, cheep",Contact/Neutral,
Brahminy Kite variant 8,Bird,Haliastur indus,Purring or soft chatter,Affiliative/Relaxed,
Domestic Dog variant 58,Mammal,Canis familiaris,Hiss,Threat/Avoidance,
Arctic Fox,Mammal,Vulpes lagopus,"Whine, whimper",Distress/Anxious,
Bar-headed Goose variant 20,Bird,Anser indicus,Purring or soft chatter,Affiliative/Relaxed,
Arctic Fox,Mammal,Vulpes lagopus,"Trumpet, rumble",Alarm/Excited,
Sarus Crane variant 19,Bird,Grus antigone,Distress squeal,Distress/Separation,
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Silent (body-language),Neutral/Calm,
Gray Wolf,Mammal,Canis lupus,"Growl, snarl",Aggression,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Vocal chirp (rare),Contact,
Rock Pigeon,Bird,Columba livia,Purring or soft chatter,Affiliative/Relaxed,
Polar Bear,Mammal,Ursus maritimus,Chittering,Playful,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Mating call (vocal),Courtship/Excited,
Fantail variant 33,Bird,Rhipidura sp.,Aggressive scolding,Aggression/Defense,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Whine, whimper",Distress/Anxious,at dawn
Water Buffalo,Mammal,Bubalus bubalis,Sniffing/grunting,Exploration/Foraging,near nesting site
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Whine, whimper",Distress/Anxious,when separated from group
Indian Hare,Mammal,Lepus nigricollis,"Bark, woof",Alert/Excited,
House Crow,Bird,Corvus splendens,Bill-clacking,Threat,
Cattle Egret,Bird,Bubulcus ibis,"Alarm call, harsh chips",Alarm/Alert,
White Rhinoceros,Mammal,Ceratotherium simum,"Growl, snarl",Aggression,
Gharial,Reptile,Gavialis gangeticus,Vocal chirp (rare),Contact,
Gharial,Reptile,Gavialis gangeticus,Splash (aquatic),Startle/Escape,near nesting site
Indian Rock Python,Reptile,Python molurus,Slow low moan,Distress,
Brahminy Starling,Bird,Sturnia pagodarum,Aggressive scolding,Aggression/Defense,
Spoonbill,Bird,Platalea leucorodia,"Chirp, cheep",Contact/Neutral,at dusk
Rock Pigeon variant 6,Bird,Columba livia,Purring or soft chatter,Affiliative/Relaxed,near nesting site
Koala,Mammal,Phascolarctos cinereus,"Whine, whimper",Distress/Anxious,
Nilgai,Mammal,Boselaphus tragocamelus,"Growl, snarl",Aggression,
Russell's Viper,Reptile,Daboia russelii,Silent (body-language),Neutral/Calm,
Indian Vulture,Bird,Gyps indicus,Fleeing chatter,Fear/Escape,when threatened
Indian Nightjar,Bird,Caprimulgus asiaticus,"Song, melodious trills",Courtship/Excited,
Clownfish,Fish,Amphiprioninae,Bubble streams,Exploration/Foraging,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Whine, whimper",Distress/Anxious,
Indian Courser,Bird,Cursorius coromandelicus,Aggressive scolding,Aggression/Defense,
Mugger Crocodile,Reptile,Crocodylus palustris,Huffing,Defensive,
King Cobra,Reptile,Ophiophagus hannah,Hiss,Threat/Defense,
Domestic Dog variant 58,Mammal,Canis familiaris,"Growl, snarl",Aggression,
Gaur,Mammal,Bos gaurus,Hiss,Threat/Avoidance,when separated from group
Sarus Crane variant 19,Bird,Grus antigone,Soft contact calls,Content/Comfort,
Domestic Sheep variant 57,Mammal,Ovis aries,"Trumpet, rumble",Alarm/Excited,
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Aggressive lunge sound,Aggression,when threatened
Domestic Goat variant 56,Mammal,Capra hircus,"Bark, woof",Alert/Excited,when threatened
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Bark, woof",Alert/Excited,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Trumpet, rumble",Alarm/Excited,
Barn Owl,Bird,Tyto alba,Aggressive scolding,Aggression/Defense,near nesting site
Indian Peafowl variant 1,Bird,Pavo cristatus,"Mimicry, learned sounds",Curiosity/Exploration,at dawn
White Rhinoceros,Mammal,Ceratotherium simum,Loud bawl,Distress/Alarm,
Asian Koel,Bird,Eudynamys scolopaceus,"Song, melodious trills",Courtship/Excited,
Brahminy Kite variant 8,Bird,Haliastur indus,Mobbing calls,Group Alarm,
Gharial variant 77,Reptile,Gavialis gangeticus,Vocal chirp (rare),Contact,
Domestic Cat,Mammal,Felis catus,"Roar, long call",Territorial/Aggressive,
Indian Roller,Bird,Coracias benghalensis,Mobbing calls,Group Alarm,
White-throated Kingfisher,Bird,Halcyon smyrnensis,"Mimicry, learned sounds",Curiosity/Exploration,
Kangaroo,Mammal,Macropus,"Roar, long call",Territorial/Aggressive,
Saw-scaled Viper,Reptile,Echis carinatus,Aggressive lunge sound,Aggression,
Asiatic Lion,Mammal,Panthera leo persica,"Growl, snarl",Aggression,
Domestic Dog variant 58,Mammal,Canis familiaris,"Purr, contented vocalization",Contentment/Relaxed,during mating display
King Cobra variant 69,Reptile,Ophiophagus hannah,Aggressive lunge sound,Aggression,
Asiatic Lion,Mammal,Panthera leo persica,"Roar, long call",Territorial/Aggressive,
Dragonfly,Insect,Odonata,Stridulation (chirp),Courtship/Display,near nesting site
Little Egret variant 31,Bird,Egretta garzetta,Soft contact calls,Content/Comfort,at dusk
Himalayan Black Bear,Mammal,Ursus thibetanus,"Purr, contented vocalization",Contentment/Relaxed,at dusk
Wild Yak,Mammal,Bos grunniens,"Trumpet, rumble",Alarm/Excited,
Woodpecker,Bird,Picidae sp.,"Chirp, cheep",Contact/Neutral,
Barasingha,Mammal,Rucervus duvaucelii,"Squeak, contact call",Contact/Neutral,during mating display
Nilgai,Mammal,Boselaphus tragocamelus,"Squeak, contact call",Contact/Neutral,
Sarus Crane variant 19,Bird,Grus antigone,"Chirp, cheep",Contact/Neutral,
Chital,Mammal,Axis axis,Hiss,Threat/Avoidance,
Polar Bear,Mammal,Ursus maritimus,"Whine, whimper",Distress/Anxious,
Fantail variant 33,Bird,Rhipidura sp.,Wing-flap displays,Excitement/Display,
Indian Courser,Bird,Cursorius coromandelicus,Wing-flap displays,Excitement/Display,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Purring or soft chatter,Affiliative/Relaxed,
Woodpecker variant 18,Bird,Picidae sp.,Soft contact calls,Content/Comfort,when threatened
Indian Vulture,Bird,Gyps indicus,"Song, melodious trills",Courtship/Excited,when threatened
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Rattle (some species),Warning,
Giant Panda,Mammal,Ailuropoda melanoleuca,"Growl, snarl",Aggression,
Common Myna,Bird,Acridotheres tristis,Aggressive scolding,Aggression/Defense,
Indian Roller variant 7,Bird,Coracias benghalensis,Aggressive scolding,Aggression/Defense,
Koala,Mammal,Phascolarctos cinereus,"Roar, long call",Territorial/Aggressive,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Whine, whimper",Distress/Anxious,at dusk
Striped Hyena,Mammal,Hyaena hyaena,"Whine, whimper",Distress/Anxious,
Star Tortoise,Reptile,Geochelone elegans,Vocal chirp (rare),Contact,
Fantail Flycatcher,Bird,Rhipidura,"Chirp, cheep",Contact/Neutral,near nesting site
Barn Owl,Bird,Tyto alba,"Alarm call, harsh chips",Alarm/Alert,when separated from group
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Squeak, contact call",Contact/Neutral,
Woodpecker variant 18,Bird,Picidae sp.,Wing-flap displays,Excitement/Display,during mating display
Giant Panda,Mammal,Ailuropoda melanoleuca,Loud bawl,Distress/Alarm,
Indian Roller variant 7,Bird,Coracias benghalensis,Mobbing calls,Group Alarm,at dawn
Arctic Fox,Mammal,Vulpes lagopus,"Roar, long call",Territorial/Aggressive,
Golden Eagle,Bird,Aquila chrysaetos,Aggressive scolding,Aggression/Defense,
Garden Lizard,Reptile,Calotes versicolor,Hiss,Threat/Defense,
Sambar Deer,Mammal,Rusa unicolor,Sniffing/grunting,Exploration/Foraging,during foraging
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Jaw clack,Threat,
Dragonfly,Insect,Odonata,Rattling,Startle,
Tilapia,Fish,Oreochromis niloticus,"Blub, gulp",Neutral/Contact,
Indian Pangolin,Mammal,Manis crassicaudata,Sniffing/grunting,Exploration/Foraging,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Squeak, contact call",Contact/Neutral,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,Loud bawl,Distress/Alarm,in presence of human
Indian Elephant variant 34,Mammal,Elephas maximus indicus,"Squeak, contact call",Contact/Neutral,at dawn
Sarus Crane,Bird,Grus antigone,Mobbing calls,Group Alarm,
Leopard Cat,Mammal,Prionailurus bengalensis,"Growl, snarl",Aggression,
Domestic Sheep variant 57,Mammal,Ovis aries,Hiss,Threat/Avoidance,
Red Panda,Mammal,Ailurus fulgens,Mating call (vocal),Courtship/Excited,
Himalayan Black Bear,Mammal,Ursus thibetanus,"Trumpet, rumble",Alarm/Excited,
Common Myna,Bird,Acridotheres tristis,"Chirp, cheep",Contact/Neutral,
Gray Wolf,Mammal,Canis lupus,Mating call (vocal),Courtship/Excited,
Tree Sparrow variant 25,Bird,Passer montanus,Mobbing calls,Group Alarm,during play
Gharial,Reptile,Gavialis gangeticus,Breathing sound,Relaxed,near nesting site
Kangaroo,Mammal,Macropus,Loud bawl,Distress/Alarm,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Agitated splash,Escape,
Red Junglefowl variant 22,Bird,Gallus gallus,"Chirp, cheep",Contact/Neutral,
Indian Pond Heron,Bird,Ardeola grayii,"Chirp, cheep",Contact/Neutral,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Flood-call,Alarm/Startle,
Indian Flying Fox,Mammal,Pteropus giganteus,"Trumpet, rumble",Alarm/Excited,at dusk
Polar Bear,Mammal,Ursus maritimus,"Purr, contented vocalization",Contentment/Relaxed,
Polar Bear,Mammal,Ursus maritimus,Mating call (vocal),Courtship/Excited,near nesting site
Cattle Egret variant 11,Bird,Bubulcus ibis,Aggressive scolding,Aggression/Defense,
House Crow variant 4,Bird,Corvus splendens,Purring or soft chatter,Affiliative/Relaxed,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Aggressive scolding,Aggression/Defense,at dawn
Mugger Crocodile,Reptile,Crocodylus palustris,Silent (body-language),Neutral/Calm,at dusk
Star Tortoise,Reptile,Geochelone elegans,Aggressive lunge sound,Aggression,
Walking Catfish,Fish,Clarias batrachus,Bubble streams,Exploration/Foraging,when separated from group
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Roar, long call",Territorial/Aggressive,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Tongue-flick (non-vocal),Exploration,
Cattle Egret,Bird,Bubulcus ibis,Fleeing chatter,Fear/Escape,near nesting site
Common Krait variant 70,Reptile,Bungarus caeruleus,Splash (aquatic),Startle/Escape,near nesting site
Common Krait,Reptile,Bungarus caeruleus,Breathing sound,Relaxed,at dawn
Domestic Cat,Mammal,Felis catus,Loud bawl,Distress/Alarm,
Garden Lizard variant 76,Reptile,Calotes versicolor,Slow low moan,Distress,
Red Junglefowl,Bird,Gallus gallus,"Chirp, cheep",Contact/Neutral,
Rock Pigeon,Bird,Columba livia,Soft contact calls,Content/Comfort,
Indian Nightjar,Bird,Caprimulgus asiaticus,Fleeing chatter,Fear/Escape,
Water Buffalo variant 55,Mammal,Bubalus bubalis,"Roar, long call",Territorial/Aggressive,at dusk
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Slow low moan,Distress,at dawn
Fantail,Bird,Rhipidura sp.,"Chirp, cheep",Contact/Neutral,
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,Loud bawl,Distress/Alarm,when threatened
Golden Jackal variant 52,Mammal,Canis aureus,"Bark, woof",Alert/Excited,
Asiatic Lion variant 37,Mammal,Panthera leo persica,Hiss,Threat/Avoidance,
Indian Hare,Mammal,Lepus nigricollis,Hiss,Threat/Avoidance,
Mountain Goat,Mammal,Oreamnos americanus,"Growl, snarl",Aggression,
Asian Openbill variant 30,Bird,Anastomus oscitans,Bill-clacking,Threat,
Saw-scaled Viper,Reptile,Echis carinatus,Tongue-flick (non-vocal),Exploration,in presence of human
Brahminy Kite variant 8,Bird,Haliastur indus,"Chirp, cheep",Contact/Neutral,
Asian Koel,Bird,Eudynamys scolopaceus,"Chirp, cheep",Contact/Neutral,
Indian Rock Python variant 68,Reptile,Python molurus,Jaw clack,Threat,
Water Buffalo variant 55,Mammal,Bubalus bubalis,Sniffing/grunting,Exploration/Foraging,
Rohu,Fish,Labeo rohita,Tail slap,Threat/Startle,when separated from group
Indian Pond Heron variant 9,Bird,Ardeola grayii,Fleeing chatter,Fear/Escape,at dawn
Honey Bee,Insect,Apis cerana,Clicking,Communication,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,Chittering,Playful,
Domestic Goat,Mammal,Capra hircus,"Purr, contented vocalization",Contentment/Relaxed,
Fishing Cat,Mammal,Prionailurus viverrinus,Chittering,Playful,when threatened
Indian Elephant,Mammal,Elephas maximus indicus,"Trumpet, rumble",Alarm/Excited,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Aggressive scolding,Aggression/Defense,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Distress squeal,Distress/Separation,when threatened
Indian Rock Python,Reptile,Python molurus,Vocal chirp (rare),Contact,at dusk
Dhole,Mammal,Cuon alpinus,"Trumpet, rumble",Alarm/Excited,
Indian Pond Heron,Bird,Ardeola grayii,Mobbing calls,Group Alarm,
Indian Elephant,Mammal,Elephas maximus indicus,Loud bawl,Distress/Alarm,during foraging
Barn Owl variant 14,Bird,Tyto alba,Distress squeal,Distress/Separation,
Arctic Fox,Mammal,Vulpes lagopus,"Roar, long call",Territorial/Aggressive,
Indian Roller,Bird,Coracias benghalensis,Distress squeal,Distress/Separation,during mating display
Golden Jackal variant 52,Mammal,Canis aureus,"Squeak, contact call",Contact/Neutral,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,Loud bawl,Distress/Alarm,
Barn Owl variant 14,Bird,Tyto alba,"Mimicry, learned sounds",Curiosity/Exploration,
House Sparrow,Bird,Passer domesticus,Fleeing chatter,Fear/Escape,
Plover,Bird,Charadriidae sp.,Wing-flap displays,Excitement/Display,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Rhythmic calls,Courtship,
Giant Panda,Mammal,Ailuropoda melanoleuca,"Purr, contented vocalization",Contentment/Relaxed,
Jungle Owlet,Bird,Glaucidium radiatum,"Chirp, cheep",Contact/Neutral,at dusk
Indian Monitor Lizard variant 73,Reptile,Varanus bengalensis,Vocal chirp (rare),Contact,when separated from group
Greater Coucal variant 17,Bird,Centropus sinensis,"Chirp, cheep",Contact/Neutral,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Bark, woof",Alert/Excited,
Indian Pond Heron variant 9,Bird,Ardeola grayii,Wing-flap displays,Excitement/Display,
Domestic Sheep variant 57,Mammal,Ovis aries,Hiss,Threat/Avoidance,
Sarus Crane variant 19,Bird,Grus antigone,Purring or soft chatter,Affiliative/Relaxed,at dusk
Common Krait,Reptile,Bungarus caeruleus,Aggressive lunge sound,Aggression,
Mugger Crocodile,Reptile,Crocodylus palustris,Slow low moan,Distress,when separated from group
Chital,Mammal,Axis axis,"Trumpet, rumble",Alarm/Excited,in presence of human
Green Bee-eater variant 27,Bird,Merops orientalis,Mobbing calls,Group Alarm,
Green Bee-eater,Bird,Merops orientalis,Fleeing chatter,Fear/Escape,
Nilgai,Mammal,Boselaphus tragocamelus,Sniffing/grunting,Exploration/Foraging,at dusk
Barasingha,Mammal,Rucervus duvaucelii,"Trumpet, rumble",Alarm/Excited,
Guppy,Fish,Poecilia reticulata,Distress thrashing,Distress,in presence of human
Brahminy Starling,Bird,Sturnia pagodarum,Aggressive scolding,Aggression/Defense,
Green Bee-eater variant 27,Bird,Merops orientalis,Distress squeal,Distress/Separation,
Green Bee-eater variant 27,Bird,Merops orientalis,Bill-clacking,Threat,
Dhole variant 51,Mammal,Cuon alpinus,"Squeak, contact call",Contact/Neutral,during mating display
Black-headed Ibis,Bird,Threskiornis melanocephalus,Wing-flap displays,Excitement/Display,
Gharial variant 77,Reptile,Gavialis gangeticus,Silent (body-language),Neutral/Calm,during mating display
Wild Ass,Mammal,Equus hemionus,"Trumpet, rumble",Alarm/Excited,at dusk
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Soft contact calls,Content/Comfort,
Hanuman Langur,Mammal,Semnopithecus entellus,Mating call (vocal),Courtship/Excited,
African Elephant,Mammal,Loxodonta africana,"Purr, contented vocalization",Contentment/Relaxed,when threatened
Small Indian Civet variant 64,Mammal,Viverricula indica,Mating call (vocal),Courtship/Excited,when threatened
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Vocal chirp (rare),Contact,
Moorhen variant 26,Bird,Gallinula chloropus,Bill-clacking,Threat,
Guppy,Fish,Poecilia reticulata,"Blub, gulp",Neutral/Contact,
Dragonfly,Insect,Odonata,Buzzing,Neutral/Forage,at dusk
Small Indian Civet variant 64,Mammal,Viverricula indica,"Trumpet, rumble",Alarm/Excited,
Hilsa,Fish,Tenualosa ilisha,"Blub, gulp",Neutral/Contact,
Woodpecker variant 18,Bird,Picidae sp.,Fleeing chatter,Fear/Escape,
Black Drongo,Bird,Dicrurus macrocercus,Bill-clacking,Threat,
Indian Pangolin,Mammal,Manis crassicaudata,"Trumpet, rumble",Alarm/Excited,
Indian Peafowl variant 1,Bird,Pavo cristatus,Mobbing calls,Group Alarm,
Domestic Dog,Mammal,Canis familiaris,Hiss,Threat/Avoidance,when threatened
Koala,Mammal,Phascolarctos cinereus,"Growl, snarl",Aggression,
Mugger Crocodile,Reptile,Crocodylus palustris,Tongue-flick (non-vocal),Exploration,
Sambar Deer,Mammal,Rusa unicolor,Hiss,Threat/Avoidance,during foraging
Indian Palm Squirrel,Mammal,Funambulus palmarum,Hiss,Threat/Avoidance,at dusk
White Rhinoceros,Mammal,Ceratotherium simum,"Bark, woof",Alert/Excited,during mating display
Honey Bee,Insect,Apis cerana,Wingbeat staccato,Aggression,when threatened
Nilgai,Mammal,Boselaphus tragocamelus,Chittering,Playful,near nesting site
Golden Jackal,Mammal,Canis aureus,Loud bawl,Distress/Alarm,
Domestic Dog variant 58,Mammal,Canis familiaris,"Whine, whimper",Distress/Anxious,near nesting site
Greater Coucal variant 17,Bird,Centropus sinensis,Wing-flap displays,Excitement/Display,
Guppy,Fish,Poecilia reticulata,Bubble streams,Exploration/Foraging,
Gaur variant 39,Mammal,Bos gaurus,Sniffing/grunting,Exploration/Foraging,
White Rhinoceros,Mammal,Ceratotherium simum,Mating call (vocal),Courtship/Excited,at dawn
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Hiss,Threat/Defense,
Indian Pond Heron,Bird,Ardeola grayii,Wing-flap displays,Excitement/Display,
Leopard Cat,Mammal,Prionailurus bengalensis,Chittering,Playful,
Russell's Viper variant 71,Reptile,Daboia russelii,Hiss,Threat/Defense,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,"Squeak, contact call",Contact/Neutral,in presence of human
Tree Frog,Amphibian,Rhacophoridae sp.,Short chirp,Alarm,in presence of human
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,"Mimicry, learned sounds",Curiosity/Exploration,
King Cobra,Reptile,Ophiophagus hannah,Silent (body-language),Neutral/Calm,
Indian Pond Heron,Bird,Ardeola grayii,Fleeing chatter,Fear/Escape,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,Chittering,Playful,near nesting site
Gharial variant 77,Reptile,Gavialis gangeticus,Low growl-like hiss,Alarm/Alert,at dusk
Bengal Fox variant 65,Mammal,Vulpes bengalensis,Hiss,Threat/Avoidance,when separated from group
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Trumpet, rumble",Alarm/Excited,
Golden Jackal,Mammal,Canis aureus,Sniffing/grunting,Exploration/Foraging,at dawn
Asian Openbill,Bird,Anastomus oscitans,Bill-clacking,Threat,at dawn
Red Junglefowl,Bird,Gallus gallus,Aggressive scolding,Aggression/Defense,at dusk
Asian Koel,Bird,Eudynamys scolopaceus,"Mimicry, learned sounds",Curiosity/Exploration,
Catla,Fish,Catla catla,Distress thrashing,Distress,
Indian Monitor Lizard,Reptile,Varanus bengalensis,Hiss,Threat/Defense,during mating display
Small Indian Civet,Mammal,Viverricula indica,"Roar, long call",Territorial/Aggressive,
Koala,Mammal,Phascolarctos cinereus,Hiss,Threat/Avoidance,
Honey Bee,Insect,Apis cerana,Warning buzz,Threat,when threatened
House Sparrow,Bird,Passer domesticus,Aggressive scolding,Aggression/Defense,
Cattle Egret variant 11,Bird,Bubulcus ibis,Fleeing chatter,Fear/Escape,
Common Toad,Amphibian,Duttaphrynus melanostictus,Agitated splash,Escape,
King Cobra,Reptile,Ophiophagus hannah,Vocal chirp (rare),Contact,
Domestic Goat,Mammal,Capra hircus,Loud bawl,Distress/Alarm,
Pied Bushchat variant 21,Bird,Saxicola caprata,Fleeing chatter,Fear/Escape,
White Rhinoceros,Mammal,Ceratotherium simum,Chittering,Playful,
Indian Flying Fox,Mammal,Pteropus giganteus,Mating call (vocal),Courtship/Excited,
House Crow,Bird,Corvus splendens,"Song, melodious trills",Courtship/Excited,
Russell's Viper,Reptile,Daboia russelii,Low growl-like hiss,Alarm/Alert,
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Whine, whimper",Distress/Anxious,
Asian Openbill variant 30,Bird,Anastomus oscitans,Fleeing chatter,Fear/Escape,
King Cobra,Reptile,Ophiophagus hannah,Jaw clack,Threat,
Butterfly,Insect,Lepidoptera,Mating buzz,Courtship,
Polar Bear,Mammal,Ursus maritimus,"Whine, whimper",Distress/Anxious,
Asiatic Lion variant 37,Mammal,Panthera leo persica,Mating call (vocal),Courtship/Excited,
Common Carp,Fish,Cyprinus carpio,Calm bubbling,Neutral,during foraging
Fantail,Bird,Rhipidura sp.,Soft contact calls,Content/Comfort,when separated from group
Indian Peafowl,Bird,Pavo cristatus,Purring or soft chatter,Affiliative/Relaxed,at dusk
Domestic Sheep,Mammal,Ovis aries,"Growl, snarl",Aggression,
Common Myna,Bird,Acridotheres tristis,Fleeing chatter,Fear/Escape,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Breathing sound,Relaxed,
Rhesus Macaque,Mammal,Macaca mulatta,Chittering,Playful,
Garden Lizard,Reptile,Calotes versicolor,Tongue-flick (non-vocal),Exploration,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Distress squeal,Distress/Separation,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,"Squeak, contact call",Contact/Neutral,at dawn
Bonnet Macaque,Mammal,Macaca radiata,Loud bawl,Distress/Alarm,
Pied Bushchat variant 21,Bird,Saxicola caprata,"Alarm call, harsh chips",Alarm/Alert,
Common Carp,Fish,Cyprinus carpio,Tail slap (variant),Threat/Startle,
Bar-headed Goose,Bird,Anser indicus,Distress squeal,Distress/Separation,at dawn
Bengal Fox,Mammal,Vulpes bengalensis,"Trumpet, rumble",Alarm/Excited,
Ibis,Bird,Threskiornis sp.,Distress squeal,Distress/Separation,
Black Drongo,Bird,Dicrurus macrocercus,"Mimicry, learned sounds",Curiosity/Exploration,
Sarus Crane variant 19,Bird,Grus antigone,Mobbing calls,Group Alarm,at dawn
Golden Jackal,Mammal,Canis aureus,"Bark, woof",Alert/Excited,at dusk
Star Tortoise variant 78,Reptile,Geochelone elegans,Tongue-flick (non-vocal),Exploration,
Barasingha,Mammal,Rucervus duvaucelii,"Whine, whimper",Distress/Anxious,
Indian Flying Fox,Mammal,Pteropus giganteus,"Roar, long call",Territorial/Aggressive,
Tree Sparrow variant 25,Bird,Passer montanus,Mobbing calls,Group Alarm,at dusk
Asian Openbill variant 30,Bird,Anastomus oscitans,Aggressive scolding,Aggression/Defense,at dawn
Dhole variant 51,Mammal,Cuon alpinus,"Bark, woof",Alert/Excited,
Common Kingfisher,Bird,Alcedo atthis,Purring or soft chatter,Affiliative/Relaxed,during foraging
Common Myna,Bird,Acridotheres tristis,Mobbing calls,Group Alarm,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Whine, whimper",Distress/Anxious,
Rohu,Fish,Labeo rohita,Low hum (sonar-like),Communication,
Eurasian Eagle-Owl,Bird,Bubo bubo,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Sniffing/grunting,Exploration/Foraging,near nesting site
Catla,Fish,Catla catla,Low hum (sonar-like),Communication,
Domestic Dog,Mammal,Canis familiaris,"Purr, contented vocalization",Contentment/Relaxed,
Indian Wolf,Mammal,Canis lupus pallipes,"Squeak, contact call",Contact/Neutral,
Eurasian Eagle-Owl,Bird,Bubo bubo,"Chirp, cheep",Contact/Neutral,near nesting site
Tree Sparrow,Bird,Passer montanus,"Alarm call, harsh chips",Alarm/Alert,at dawn
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Night chorus,Group Mating,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Silent (body-language),Neutral/Calm,
Star Tortoise variant 78,Reptile,Geochelone elegans,Vocal chirp (rare),Contact,
Common Toad,Amphibian,Duttaphrynus melanostictus,Short chirp,Alarm,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,Loud bawl,Distress/Alarm,
Gray Wolf,Mammal,Canis lupus,Hiss,Threat/Avoidance,
Indian Peafowl,Bird,Pavo cristatus,Aggressive scolding,Aggression/Defense,at dusk
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Loud bawl,Distress/Alarm,
Hanuman Langur,Mammal,Semnopithecus entellus,"Squeak, contact call",Contact/Neutral,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,Mating call (vocal),Courtship/Excited,
Striped Hyena variant 66,Mammal,Hyaena hyaena,Hiss,Threat/Avoidance,
King Cobra variant 69,Reptile,Ophiophagus hannah,Low growl-like hiss,Alarm/Alert,
House Crow variant 4,Bird,Corvus splendens,Aggressive scolding,Aggression/Defense,
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Aggressive lunge sound,Aggression,near nesting site
Striped Hyena,Mammal,Hyaena hyaena,"Roar, long call",Territorial/Aggressive,
Woodpecker,Bird,Picidae sp.,Bill-clacking,Threat,
Dhole variant 51,Mammal,Cuon alpinus,Mating call (vocal),Courtship/Excited,during foraging
